n,delta_n,cumulative_gap,predictor
4,0.0,0.0,Deployment oracle
8,0.0,0.0,Deployment oracle
16,0.0,0.0,Deployment oracle
32,0.0,0.0,Deployment oracle
64,0.0,0.0,Deployment oracle
128,0.0,0.0,Deployment oracle
256,0.0,0.0,Deployment oracle
512,0.0,0.0,Deployment oracle
1024,0.0,0.0,Deployment oracle
4,0.0019208070964345436,0.0019208070964345436,Collapsed broad mixture
8,0.0015200592251550626,0.0034408663215896064,Collapsed broad mixture
16,0.0009598208015179528,0.004400687123107559,Collapsed broad mixture
32,0.0005099807679340555,0.004910667891041614,Collapsed broad mixture
64,0.00024116578617806929,0.005151833677219684,Collapsed broad mixture
128,0.0001058232767083863,0.00525765695392807,Collapsed broad mixture
256,4.4235680212705646e-05,0.005301892634140775,Collapsed broad mixture
512,1.789130299231759e-05,0.005319783937133093,Collapsed broad mixture
1024,7.065845771321441e-06,0.005326849782904415,Collapsed broad mixture
4,0.0011832461437832652,0.0011832461437832652,Matched single
8,0.0005411423671105472,0.0017243885108938124,Matched single
16,0.00019973990910063312,0.0019241284199944455,Matched single
32,6.276262542945648e-05,0.001986891045423902,Matched single
64,1.778733964222373e-05,0.0020046783850661254,Matched single
128,4.7500803070698195e-06,0.0020094284653731954,Matched single
256,1.2284377833780972e-06,0.0020106569031565734,Matched single
512,3.124287696765265e-07,0.00201096933192625,Matched single
1024,7.878546058446674e-08,0.0020110481173868343,Matched single
