n,delta_n,cumulative_gap,predictor
4,0.003600762141984581,0.003600762141984581,Global collapsed mixture
8,0.0022567812488704935,0.005857543390855075,Global collapsed mixture
16,0.0012014317213604375,0.007058975112215512,Global collapsed mixture
32,0.0005684743435425669,0.007627449455758079,Global collapsed mixture
64,0.0002501899364694269,0.007877639392227506,Global collapsed mixture
128,0.00010541200918329567,0.007983051401410802,Global collapsed mixture
256,4.315309118498074e-05,0.008026204492595782,Global collapsed mixture
4,0.00011345525116445587,0.00011345525116445587,Boundary-aware bucket
8,7.49063559131347e-05,0.00018836160707759057,Boundary-aware bucket
16,3.538665422924181e-05,0.0002237482613068324,Boundary-aware bucket
32,1.2906075985708334e-05,0.00023665433729254073,Boundary-aware bucket
64,3.975268082073433e-06,0.00024062960537461417,Boundary-aware bucket
128,1.1096525879333109e-06,0.0002417392579625475,Boundary-aware bucket
256,2.9361342564702605e-07,0.00024203287138819453,Boundary-aware bucket
4,0.0,0.0,Deployment oracle
8,0.0,0.0,Deployment oracle
16,0.0,0.0,Deployment oracle
32,0.0,0.0,Deployment oracle
64,0.0,0.0,Deployment oracle
128,0.0,0.0,Deployment oracle
256,0.0,0.0,Deployment oracle
