n,s,predictive,scaled_predictive,predictor
4,0,0.038226154751142175,0.1529046190045687,Global collapsed mixture
4,1,0.16514666515696824,0.660586660627873,Global collapsed mixture
4,2,0.2947065095362791,1.1788260381451163,Global collapsed mixture
8,0,0.0253484474341728,0.2027875794733824,Global collapsed mixture
8,1,0.10978335374328067,0.8782668299462454,Global collapsed mixture
8,2,0.1927016642292489,1.5416133138339911,Global collapsed mixture
16,0,0.015054787306629196,0.24087659690606714,Global collapsed mixture
16,1,0.06630402798193201,1.0608644477109122,Global collapsed mixture
16,2,0.1155977556726296,1.8495640907620736,Global collapsed mixture
32,0,0.008199743042106546,0.2623917773474095,Global collapsed mixture
32,1,0.037076848232958065,1.186459143454658,Global collapsed mixture
32,2,0.06466028174956974,2.0691290159862317,Global collapsed mixture
64,0,0.0042162410393336925,0.2698394265173563,Global collapsed mixture
64,1,0.01965416292697919,1.2578664273266682,Global collapsed mixture
64,2,0.03439444344736281,2.20124438063122,Global collapsed mixture
128,0,0.0020972000039640375,0.2684416005073968,Global collapsed mixture
128,1,0.010084638820122796,1.2908337689757179,Global collapsed mixture
128,2,0.01772792691003806,2.2691746444848717,Global collapsed mixture
256,0,0.0010258235489015856,0.2626108285188059,Global collapsed mixture
256,1,0.005081954155496222,1.300980263807033,Global collapsed mixture
256,2,0.00897619729883252,2.297906508501125,Global collapsed mixture
4,0,0.056271211865519116,0.22508484746207646,Boundary-aware bucket
4,1,0.17458571133878845,0.6983428453551538,Boundary-aware bucket
4,2,0.30156110308782064,1.2062444123512825,Boundary-aware bucket
8,0,0.038433981216765827,0.3074718497341266,Boundary-aware bucket
8,1,0.11706387227562001,0.9365109782049601,Boundary-aware bucket
8,2,0.19831471344948465,1.5865177075958772,Boundary-aware bucket
16,0,0.02368293501360874,0.37892696021773986,Boundary-aware bucket
16,1,0.07143930318965344,1.143028851034455,Boundary-aware bucket
16,2,0.11975907355452592,1.9161451768724147,Boundary-aware bucket
32,0,0.013447140056040537,0.43030848179329717,Boundary-aware bucket
32,1,0.04040963094506449,1.2931081902420636,Boundary-aware bucket
32,2,0.06746757513859485,2.158962404435035,Boundary-aware bucket
64,0,0.007222862629067045,0.4622632082602909,Boundary-aware bucket
64,1,0.02167882673493174,1.3874449110356313,Boundary-aware bucket
64,2,0.03614881542833841,2.313524187413658,Boundary-aware bucket
128,0,0.0037524094682028224,0.48030841192996127,Boundary-aware bucket
128,1,0.011258637345094769,1.4411055801721304,Boundary-aware bucket
128,2,0.018766770762755236,2.40214665763267,Boundary-aware bucket
256,0,0.001913803497079543,0.489933695252363,Boundary-aware bucket
256,1,0.005741595506823856,1.469848449746907,Boundary-aware bucket
256,2,0.00956963601852399,2.4498268207421416,Boundary-aware bucket
4,0,0.058823529411764705,0.23529411764705882,Deployment oracle
4,1,0.17647058823529413,0.7058823529411765,Deployment oracle
4,2,0.29411764705882354,1.1764705882352942,Deployment oracle
8,0,0.04,0.32,Deployment oracle
8,1,0.12,0.96,Deployment oracle
8,2,0.2,1.6,Deployment oracle
16,0,0.024390243902439025,0.3902439024390244,Deployment oracle
16,1,0.07317073170731707,1.170731707317073,Deployment oracle
16,2,0.12195121951219512,1.951219512195122,Deployment oracle
32,0,0.0136986301369863,0.4383561643835616,Deployment oracle
32,1,0.0410958904109589,1.3150684931506849,Deployment oracle
32,2,0.0684931506849315,2.191780821917808,Deployment oracle
64,0,0.0072992700729927005,0.46715328467153283,Deployment oracle
64,1,0.021897810218978103,1.4014598540145986,Deployment oracle
64,2,0.0364963503649635,2.335766423357664,Deployment oracle
128,0,0.0037735849056603774,0.4830188679245283,Deployment oracle
128,1,0.011320754716981131,1.4490566037735848,Deployment oracle
128,2,0.018867924528301886,2.4150943396226414,Deployment oracle
256,0,0.0019193857965451055,0.491362763915547,Deployment oracle
256,1,0.005758157389635317,1.4740882917466411,Deployment oracle
256,2,0.009596928982725527,2.456813819577735,Deployment oracle
